Score,Card_A_Claiming,Title_A,Card_B_Negating,Title_B,Claim_Text,Negate_Text,LLM_Decision,LLM_Reason,LLM_Decision,LLM_Reason
0.91,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,CCC-0847,교회 밖 구원 가능성,"하나이고 거룩한 가톨릭 사도 교회 밖에는 구원도, 죄의 사함도 없다 (Extra Ecclesiam nulla salus)",교회 밖에는 어떤 구원도 절대적으로 불가능하다 (Extra Ecclesiam nulla salus의 절대적 해석),YES,A의 절대적 주장 '교회 밖 구원 불가'와 B가 단죄하는 명제 '절대적으로 교회 밖 구원 불가'가 사실상 동일하여 정면 충돌.,YES,A의 절대적 주장 '교회 밖 구원 불가'와 B가 단죄하는 명제 '절대적으로 교회 밖 구원 불가'가 사실상 동일하여 정면 충돌.
0.906,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,"하나이고 거룩한 가톨릭 사도 교회 밖에는 구원도, 죄의 사함도 없다 (Extra Ecclesiam nulla salus)",가시적 교회 밖에는 구원이 전혀 없다는 엄격한 해석 (Extra Ecclesiam nulla salus의 배타적 해석),YES,A의 절대적 주장 '교회 밖 구원 불가'와 B가 단죄하는 '엄격한 해석(절대적으로 교회 밖 구원 불가)'이 사실상 동일하여 정면 충돌.,YES,A의 절대적 주장 '교회 밖 구원 불가'와 B가 단죄하는 '엄격한 해석(절대적으로 교회 밖 구원 불가)'이 사실상 동일하여 정면 충돌.
0.848,COUNCIL-FLORENCE,Cantate Domino (가장 강력한 배타적 구원 교령),CCC-846_848,교회 밖의 구원 (Extra Ecclesiam nulla salus),"유대인, 이교도, 가톨릭에서 떨어져 나간 이단자나 분열파 신자는 죽기 전에 로마 가톨릭 교회에 결합되지 않으면 예외 없이 지옥에 간다.",가톨릭 교회에 속하지 않은 사람은 무조건 지옥에 간다(엄격주의).,YES,A가 주장하는 '교회 미결합자의 예외 없는 지옥 행'이 B가 단죄하는 '엄격주의(무조건 지옥)'와 사실상 동일 명제입니다.,YES,A가 주장하는 '교회 미결합자의 예외 없는 지옥 행'이 B가 단죄하는 '엄격주의(무조건 지옥)'와 사실상 동일 명제입니다.
0.848,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,TRENT-S14,고해성사와 병자성사,세례 후 대죄의 사함을 위해 사제 앞 고백은 하느님의 법에 의해 필수이다,죄를 사제에게 낱낱이 고백하지 않고 하느님께 직접 고백하는 것만으로 충분하다.,YES,"A는 사제 앞 고백을 필수라 주장하고, B가 단죄하는 것은 사제 고백 없이 직접 고백만으로 충분하다는 명제로 정면 충돌합니다.",YES,"A는 사제 앞 고백을 필수라 주장하고, B가 단죄하는 것은 사제 고백 없이 직접 고백만으로 충분하다는 명제로 정면 충돌합니다."
0.824,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,신적 섭리는 이런 사람들에게 구원에 필요한 도움을 거부하지 않는다,교황에 대한 복종 없이도 구원받을 수 있다는 명제,YES,A가 '(교황 지시를 모르는 사람도) 구원에 필요한 도움을 받을 수 있다'고 주장하는 것은 B가 단죄하는 '교황 복종 없이도 구원 가능'과 사실상 동일합니다.,YES,A가 '(교황 지시를 모르는 사람도) 구원에 필요한 도움을 받을 수 있다'고 주장하는 것은 B가 단죄하는 '교황 복종 없이도 구원 가능'과 사실상 동일합니다.
0.824,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,신적 섭리는 이런 사람들에게 구원에 필요한 도움을 거부하지 않는다,세례가 구원에 필수가 아니라는 명제,YES,A가 '(세례를 받지 못한 사람도) 구원에 필요한 도움을 거부받지 않는다'고 주장하는 것은 B가 단죄하는 '세례가 구원에 필수가 아니다'와 사실상 동일합니다.,YES,A가 '(세례를 받지 못한 사람도) 구원에 필요한 도움을 거부받지 않는다'고 주장하는 것은 B가 단죄하는 '세례가 구원에 필수가 아니다'와 사실상 동일합니다.
0.795,COUNCIL-LATERAN_IV,교회 밖 구원 없음과 화체설,CCC-0847,교회 밖 구원 가능성,"로마 가톨릭 교회라는 단 하나의 보편 교회만이 존재하며, 이 가시적 교회 밖에서는 어떠한 구원도 절대 불가능하다.",구원은 오직 가톨릭 교회의 가시적 구성원에게만 한정된다,YES,A가 주장하는 '가시적 교회 밖 절대 구원 불가능'이 B가 거부하는 바로 그 명제('구원이 오직 가시적 구성원에게만 한정')와 사실상 동일하므로 정면 충돌입니다.,YES,A가 주장하는 '가시적 교회 밖 절대 구원 불가능'이 B가 거부하는 바로 그 명제('구원이 오직 가시적 구성원에게만 한정')와 사실상 동일하므로 정면 충돌입니다.
0.771,CCC-846_848,교회 밖의 구원 (Extra Ecclesiam nulla salus),COUNCIL-LATERAN_IV,교회 밖 구원 없음과 화체설,자기 탓 없이 그리스도의 복음과 가톨릭 교회를 모르는 자도 양심을 따르고 하느님을 찾으면 구원받을 수 있다.,가톨릭 교회에 속하지 않은 타 종파 신자나 이교도도 구원받을 수 있다.,YES,A가 주장하는 '비가톨릭 신자(모르는 자)도 양심을 따르면 구원 가능'이라는 명제를 B가 단죄(부정)하므로 정면 충돌합니다.,YES,A가 주장하는 '비가톨릭 신자(모르는 자)도 양심을 따르면 구원 가능'이라는 명제를 B가 단죄(부정)하므로 정면 충돌합니다.
0.764,CCC-846_848,교회 밖의 구원 (Extra Ecclesiam nulla salus),COUNCIL-FLORENCE,Cantate Domino (가장 강력한 배타적 구원 교령),자기 탓 없이 그리스도의 복음과 가톨릭 교회를 모르는 자도 양심을 따르고 하느님을 찾으면 구원받을 수 있다.,"가톨릭 교회에 속하지 않은 타종교인이나 정교회/개신교 신자라도 선행이나 예수에 대한 믿음, 순교를 통해 구원받을 수 있다 (제2차 바티칸 공의회의 포용주의와 극심한 직관적 충돌).",YES,A가 주장하는 '비가톨릭인도 선행과 신앙으로 구원 가능'은 B가 단죄하는 바와 사실상 동일합니다. A의 입장을 B가 직접 단죄합니다.,YES,A가 주장하는 '비가톨릭인도 선행과 신앙으로 구원 가능'은 B가 단죄하는 바와 사실상 동일합니다. A의 입장을 B가 직접 단죄합니다.
0.759,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,CCC-1452,완전한 통회 (Contritio Perfecta),사제만이 죄를 사할 권한을 갖는다 (요한 20:23에 근거),대죄는 오직 고해성사를 통해서만 용서될 수 있다 (예외 없이),YES,"A는 사제의 죄 사함 독점권을 주장하고, B는 '대죄는 오직·예외 없이' 고해성사로만 용서된다는 명제를 거부함으로써, 사제 권한의 절대성에 대해 정면 충돌합니다.",YES,"A는 사제의 죄 사함 독점권을 주장하고, B는 '대죄는 오직·예외 없이' 고해성사로만 용서된다는 명제를 거부함으로써, 사제 권한의 절대성에 대해 정면 충돌합니다."
