Score,Cross_Claim_Score,Level,Card_A_Claiming,Title_A,Card_B_Negating,Title_B,Claim_Text,Negate_Text,Exclusion_Reason
0.92,0.809,5,TRENT-S13-C01,화체설: 빵과 포도주의 실체 변환,CCC-1322_1419,성체성사와 화체설,"축성(consecration) 후 빵의 실체는 그리스도의 몸의 실체로, 포도주의 실체는 그리스도의 피의 실체로 변환된다 (화체설, Transubstantiatio)",축성 후에도 빵과 포도주의 실체가 그리스도의 몸과 피와 함께 남아 있다(공재설).,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.908,0.757,4,CCC-1376,화체설 (Transsubstantiatio),TRENT-S13,성체성사와 화체설,축성으로 빵의 전 실체가 그리스도의 몸의 실체로 변환된다,"성체 안에 그리스도의 몸과 함께 빵의 실체도 그대로 남아 있다(공재설, 루터 반박).",수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.907,0.917,4,TRENT-S06-C13,죄 사함을 흔들림 없이 확신해야 한다면 파문,CCC-1452,완전한 통회 (Contritio Perfecta),죄 사함을 얻기 위해 자신이 확실히 용서받았다고 조금의 흔들림도 없이 믿어야 하는 것은 아니다,내적 통회만으로는 어떤 죄도 용서될 수 없다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.902,0.82,4,CCC-1376,화체설 (Transsubstantiatio),CCC-1322_1419,성체성사와 화체설,축성으로 빵의 전 실체가 그리스도의 몸의 실체로 변환된다,축성 후에도 빵과 포도주의 실체가 그리스도의 몸과 피와 함께 남아 있다(공재설).,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.895,0.917,4,TRENT-S06-C13,죄 사함을 흔들림 없이 확신해야 한다면 파문,CCC-1452,완전한 통회 (Contritio Perfecta),죄 사함을 얻기 위해 자신이 확실히 용서받았다고 조금의 흔들림도 없이 믿어야 하는 것은 아니다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.89,0.939,4,CCC-1996,은총은 무상의 선물,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,은총은 하느님의 생명에 참여하도록 부르는 것이다,의화된 자의 선한 행위에 공로가 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.888,0.856,3,CCC-1996,은총은 무상의 선물,CCC-1452,완전한 통회 (Contritio Perfecta),은총은 하느님의 생명에 참여하도록 부르는 것이다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.886,0.97,4,CCC-1376,화체설 (Transsubstantiatio),TRENT-S13-C02,화체설을 부정하고 빵의 실체가 남아있다면 파문 (공재설 단죄),축성으로 빵의 전 실체가 그리스도의 몸의 실체로 변환된다,"축성 후에도 빵과 포도주의 실체가 그리스도의 몸과 피와 함께 공존한다는 명제 (공재설, Consubstantiation)",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.884,0.906,4,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-2068,계명 준수로 구원,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,은총의 상태에 있으면 계명을 지키지 않아도 된다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.882,0.355,5,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,TRENT-S06-C09,오직 믿음(Sola Fide)으로 의롭다 하면 파문,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,의화에 인간 의지의 어떤 준비도 필요 없다는 명제,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.88,0.939,4,CCC-1996,은총은 무상의 선물,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,은총은 하느님의 생명에 참여하도록 부르는 것이다,인간의 행위로 은총이나 영원한 생명이 증가될 수 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.878,0.906,4,CCC-2068,계명 준수로 구원,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,의화된 자의 선한 행위에 공로가 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.876,0.97,4,TRENT-S13-C02,화체설을 부정하고 빵의 실체가 남아있다면 파문 (공재설 단죄),CCC-1376,화체설 (Transsubstantiatio),축성 후 빵의 실체 전체가 그리스도 몸의 실체로 변화한다 (실체의 완전한 전환),빵과 포도주의 실체와 그리스도의 실체가 공존한다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.874,0.661,4,TRENT-S06-C09,오직 믿음(Sola Fide)으로 의롭다 하면 파문,CCC-1257,세례의 필수성,믿음만으로는 의화에 충분하지 않다 — 행위와 성사적 참여가 함께 요구된다,내적 믿음만으로 세례 없이 충분하다 (통상적 경우),수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.874,0.888,4,TRENT-S06-C30,의화 후 잠벌이 전혀 남지 않는다면 파문 (연옥 신학의 토대),CCC-2068,계명 준수로 구원,이 잠벌은 현세에서 혹은 사후 연옥에서 갚아야 한다,은총의 상태에 있으면 계명을 지키지 않아도 된다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.874,0.876,4,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-2068,계명 준수로 구원,선한 행위를 통해 영광의 증가를 참으로 얻을 수 있다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.874,0.932,4,TRENT-S13-C01,화체설: 빵과 포도주의 실체 변환,CCC-1376,화체설 (Transsubstantiatio),"축성(consecration) 후 빵의 실체는 그리스도의 몸의 실체로, 포도주의 실체는 그리스도의 피의 실체로 변환된다 (화체설, Transubstantiatio)",빵과 포도주의 실체와 그리스도의 실체가 공존한다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.874,0.882,4,LG-25,"Lumen Gentium 25항: 교황 통상 교도권에 대한 ""종교적 순종"" 의무",VAT1-PASTOR-AETERNUS,교황 무류성 선언 (Ex Cathedra),교황의 정의(definitions)는 교회의 동의 없이도 그 자체로 불가역적(irreformable)이다,교황의 정의가 교회의 동의(consensus)를 통해서만 개혁 불가능하다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.873,0.893,5,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,모든 대죄를 낱낱이 고백할 신법적 의무가 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.87,0.911,3,CCC-1996,은총은 무상의 선물,CCC-2068,계명 준수로 구원,은총은 하느님의 생명에 참여하도록 부르는 것이다,은총의 상태에 있으면 계명을 지키지 않아도 된다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.87,0.825,4,VAT1-PASTOR-AETERNUS,교황 무류성 선언 (Ex Cathedra),CCC-888_892,교도권과 교황 무류성 (Infallibility),교황이 사도좌에서(ex cathedra) 신앙이나 도덕에 관한 교리를 확정할 때 무류하다,교황이 '좌에서(Ex Cathedra)' 선언한 신앙과 도덕 교리라 할지라도 성경과 어긋나면 오류가 있을 수 있다.,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.87,0.904,4,VAT1-PASTOR-AETERNUS,교황 무류성 선언 (Ex Cathedra),LG-25,"Lumen Gentium 25항: 교황 통상 교도권에 대한 ""종교적 순종"" 의무",교황이 사도좌에서(ex cathedra) 신앙이나 도덕에 관한 교리를 확정할 때 무류하다,주교단의 가르침이 교황과 무관하게 독자적으로 무류할 수 있다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.868,0.878,2,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),소죄를 고백하는 것도 허용되며 유익하다,세례 없이 죽은 유아는 반드시 림보에 머문다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.867,0.825,4,TRENT-S06,칭의(의화) 교령,CCC-1987_2016,"칭의(의화)와 은총, 그리고 공로",칭의는 단지 하느님이 죄를 덮어주시는 것이 아니라 인간 본성이 내적으로 쇄신되는 것이다.,칭의는 오직 믿음만으로 이루어지며 내적 쇄신이 아닌 단순히 하느님이 죄를 덮어주시는 것이다(이신칭의 부정).,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.865,0.88,4,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,CCC-2068,계명 준수로 구원,고해성사는 그리스도에 의해 제정되었다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.864,0.866,3,CCC-1471,면죄부 (Indulgentia),CCC-1861,대죄와 은총 상실,면죄부는 합당한 조건을 갖춘 신자에게 적용된다,죄로 인해 하느님과의 관계가 단절되지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.864,0.917,4,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-2010,공로 (Meritum),선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,선행은 구원에 아무런 기여도 하지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.864,0.877,5,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,성변화 후 성체 안에 현존하시는 그리스도는 하느님께 드리는 최고의 경배인 흠숭지례(latria)로 경배받아야 한다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.863,0.888,3,CCC-1471,면죄부 (Indulgentia),CCC-1452,완전한 통회 (Contritio Perfecta),면죄부는 합당한 조건을 갖춘 신자에게 적용된다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.863,0.87,4,CCC-1996,은총은 무상의 선물,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,은총은 하느님의 생명에 참여하도록 부르는 것이다,모든 대죄를 낱낱이 고백할 신법적 의무가 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.862,0.88,4,CCC-2068,계명 준수로 구원,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,의화된 후에도 하느님의 계명을 지켜야 한다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.861,0.882,4,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,완전한 통회는 소죄의 용서를 가져온다,의화된 자의 선한 행위에 공로가 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.861,0.866,3,CCC-1861,대죄와 은총 상실,CCC-1471,면죄부 (Indulgentia),대죄는 하느님과의 관계를 단절시킨다,죄의 용서와 함께 모든 벌도 완전히 제거된다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.859,0.893,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,인간의 행위로 은총이나 영원한 생명이 증가될 수 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.858,0.887,3,CCC-1452,완전한 통회 (Contritio Perfecta),CCC-2068,계명 준수로 구원,완전한 통회는 소죄의 용서를 가져온다,은총의 상태에 있으면 계명을 지키지 않아도 된다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.858,0.877,4,CCC-2068,계명 준수로 구원,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,의화된 후에도 하느님의 계명을 지켜야 한다,의화된 자의 선한 행위에 공로가 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.857,0.869,3,CCC-1471,면죄부 (Indulgentia),CCC-1452,완전한 통회 (Contritio Perfecta),면죄부는 이미 용서받은 죄에 대한 시간적 벌의 감면이다,내적 통회만으로는 어떤 죄도 용서될 수 없다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.857,0.868,4,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,CCC-1452,완전한 통회 (Contritio Perfecta),고해성사는 그리스도에 의해 제정되었다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.853,0.858,4,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-1452,완전한 통회 (Contritio Perfecta),선한 행위를 통해 영광의 증가를 참으로 얻을 수 있다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.853,0.877,5,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,성변화 후 성체 안에 현존하시는 그리스도는 하느님께 드리는 최고의 경배인 흠숭지례(latria)로 경배받아야 한다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.852,0.876,4,CCC-2068,계명 준수로 구원,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,모든 대죄를 낱낱이 고백할 신법적 의무가 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.852,0.888,4,TRENT-S06-C30,의화 후 잠벌이 전혀 남지 않는다면 파문 (연옥 신학의 토대),CCC-2068,계명 준수로 구원,이 잠벌은 현세에서 혹은 사후 연옥에서 갚아야 한다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.851,0.852,3,CCC-1471,면죄부 (Indulgentia),CCC-2068,계명 준수로 구원,면죄부는 합당한 조건을 갖춘 신자에게 적용된다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.851,0.852,5,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,성변화 후 성체 안에 현존하시는 그리스도는 하느님께 드리는 최고의 경배인 흠숭지례(latria)로 경배받아야 한다,의화된 자의 선한 행위에 공로가 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.85,0.88,4,CCC-2068,계명 준수로 구원,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,의화된 후에도 하느님의 계명을 지켜야 한다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.849,0.856,3,CCC-1861,대죄와 은총 상실,CCC-2068,계명 준수로 구원,회개하지 않은 대죄는 영원한 지옥의 벌을 가져온다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
