Score,Level,Card_A_Claiming,Title_A,Card_B_Negating,Title_B,Claim_Text,Negate_Text
0.962,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-2181,주일 미사 의무,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,미사 불참은 죄가 되지 않는다
0.947,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S22-C01,미사는 참된 속죄 제사,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,미사에 속죄적 가치가 없다는 명제
0.947,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S22-C01,미사는 참된 속죄 제사,소죄를 고백하는 것도 허용되며 유익하다,미사에 속죄적 가치가 없다는 명제
0.94,5,TRENT-S13-C01,화체설: 빵과 포도주의 실체 변환,TRENT-S13-C02,화체설을 부정하고 빵의 실체가 남아있다면 파문 (공재설 단죄),"축성(consecration) 후 빵의 실체는 그리스도의 몸의 실체로, 포도주의 실체는 그리스도의 피의 실체로 변환된다 (화체설, Transubstantiatio)","축성 후에도 빵과 포도주의 실체가 그리스도의 몸과 피와 함께 공존한다는 명제 (공재설, Consubstantiation)"
0.939,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-2010,공로 (Meritum),아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,선행은 구원에 아무런 기여도 하지 않는다
0.936,4,CCC-1996,은총은 무상의 선물,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,은총은 하느님의 생명에 참여하도록 부르는 것이다,세례 없이도 믿음만으로 구원받을 수 있다는 명제
0.935,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S14-C12,하느님이 항상 죄책과 함께 형벌 전체를 사하신다면 파문 (잠벌 교리의 근거),아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,죄책이 사해지면 어떤 형벌도 전혀 남지 않는다는 명제
0.934,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-0847,교회 밖 구원 가능성,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,복음을 듣지 못한 자는 모두 저주받는다
0.932,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,의화된 자의 선한 행위에 공로가 없다는 명제
0.932,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,모든 대죄를 낱낱이 고백할 신법적 의무가 없다는 명제
0.931,5,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,세례 없이도 믿음만으로 구원받을 수 있다는 명제
0.931,4,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,CCC-2181,주일 미사 의무,소죄를 고백하는 것도 허용되며 유익하다,미사 불참은 죄가 되지 않는다
0.93,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-1250,유아 세례의 필요성 (원죄로부터의 해방),아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,세례받지 않은 유아도 이미 하느님 자녀의 자유 안에 있다는 명제
0.93,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S06-C09,오직 믿음(Sola Fide)으로 의롭다 하면 파문,소죄를 고백하는 것도 허용되며 유익하다,의화에 인간 의지의 어떤 준비도 필요 없다는 명제
0.929,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-1452,완전한 통회 (Contritio Perfecta),아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다
0.929,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S06-C09,오직 믿음(Sola Fide)으로 의롭다 하면 파문,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,의화에 인간 의지의 어떤 준비도 필요 없다는 명제
0.925,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,세례 없이도 믿음만으로 구원받을 수 있다는 명제
0.924,3,CCC-1996,은총은 무상의 선물,CCC-1861,대죄와 은총 상실,은총은 하느님의 생명에 참여하도록 부르는 것이다,죄로 인해 하느님과의 관계가 단절되지 않는다
0.924,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",UNAM-SANCTAM,교황 복종이 구원에 절대 필요,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,교황에 대한 복종 없이도 구원받을 수 있다는 명제
0.924,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,소죄를 고백하는 것도 허용되며 유익하다,교황에 대한 복종 없이도 구원받을 수 있다는 명제
0.923,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,소죄를 고백하는 것도 허용되며 유익하다,의화된 자의 선한 행위에 공로가 없다는 명제
0.922,1,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-1261,세례 없이 죽은 유아의 구원 희망,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,세례 없이 죽은 유아를 위해 교회가 아무것도 할 수 없다는 명제
0.922,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-2068,계명 준수로 구원,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,은총의 상태에 있으면 계명을 지키지 않아도 된다
0.922,1,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",AMORIS-LAETITIA-CH8,재혼자 성체 접근 암시,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,비정규적 상황에 있는 이들에 대해 어떤 식별 과정도 필요 없다는 명제
0.921,3,CCC-1257,세례의 필수성,LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",교회는 세례 외에 구원의 다른 수단을 알지 못한다,교회가 구원과 무관하다는 명제
0.921,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,소죄를 고백하는 것도 허용되며 유익하다,세례 없이도 믿음만으로 구원받을 수 있다는 명제
0.92,4,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제
0.92,5,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,고해성사는 그리스도에 의해 제정되었다,성체 안의 그리스도가 흠숭받을 대상이 아니라는 명제
0.919,3,CCC-1452,완전한 통회 (Contritio Perfecta),CCC-1471,면죄부 (Indulgentia),완전한 통회는 소죄의 용서를 가져온다,죄의 용서와 함께 모든 벌도 완전히 제거된다
0.918,3,CCC-1996,은총은 무상의 선물,CCC-2068,계명 준수로 구원,은총은 하느님의 생명에 참여하도록 부르는 것이다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다
0.918,3,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,CCC-1261,세례 없이 죽은 유아의 구원 희망,소죄를 고백하는 것도 허용되며 유익하다,세례 없이 죽은 유아를 위해 교회가 아무것도 할 수 없다는 명제
0.917,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,간통을 이유로 혼인의 유대가 해소될 수 있다는 명제
0.917,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,소죄를 고백하는 것도 허용되며 유익하다,간통을 이유로 혼인의 유대가 해소될 수 있다는 명제
0.916,4,CCC-1861,대죄와 은총 상실,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,대죄는 하느님과의 관계를 단절시킨다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제
0.916,4,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,CCC-1250,유아 세례의 필요성 (원죄로부터의 해방),소죄를 고백하는 것도 허용되며 유익하다,세례받지 않은 유아도 이미 하느님 자녀의 자유 안에 있다는 명제
0.916,4,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,CCC-1452,완전한 통회 (Contritio Perfecta),소죄를 고백하는 것도 허용되며 유익하다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다
0.915,4,CCC-1861,대죄와 은총 상실,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,대죄는 하느님과의 관계를 단절시킨다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제
0.915,3,CCC-1861,대죄와 은총 상실,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,대죄는 하느님과의 관계를 단절시킨다,복음을 모르는 이들에게 하느님이 구원의 기회를 주지 않는다는 명제
0.915,3,CCC-2068,계명 준수로 구원,CCC-0847,교회 밖 구원 가능성,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,복음을 듣지 못한 자는 모두 저주받는다
0.915,4,CCC-2068,계명 준수로 구원,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,세례 없이도 믿음만으로 구원받을 수 있다는 명제
0.915,1,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-1261,세례 없이 죽은 유아의 구원 희망,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,세례받지 못한 유아에게는 어떠한 구원의 길도 존재할 수 없다는 명제
0.914,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-1861,대죄와 은총 상실,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,죄로 인해 하느님과의 관계가 단절되지 않는다
0.913,2,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,AMORIS-LAETITIA-CH8,재혼자 성체 접근 암시,소죄를 고백하는 것도 허용되며 유익하다,비정규적 상황에 있는 이들에 대해 어떤 식별 과정도 필요 없다는 명제
0.912,5,TRENT-S06-C13,죄 사함을 흔들림 없이 확신해야 한다면 파문,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,죄 사함을 얻기 위해 자신이 확실히 용서받았다고 조금의 흔들림도 없이 믿어야 하는 것은 아니다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제
0.91,4,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,CCC-0847,교회 밖 구원 가능성,"하나이고 거룩한 가톨릭 사도 교회 밖에는 구원도, 죄의 사함도 없다 (Extra Ecclesiam nulla salus)",교회 밖에는 어떤 구원도 절대적으로 불가능하다 (Extra Ecclesiam nulla salus의 절대적 해석)
0.91,4,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-2068,계명 준수로 구원,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다
0.909,4,CCC-1996,은총은 무상의 선물,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,은총은 하느님의 생명에 참여하도록 부르는 것이다,성체 안의 그리스도가 흠숭받을 대상이 아니라는 명제
